municipio,uf,ng
Ipeúna,SP,16
Ipiaçu,MG,14
Ipiaú,BA,4
Ipiguá,SP,12
Ipira,SC,16
Ipirá,BA,4
Ipiranga,PR,12
Ipiranga de Goiás,GO,18
Ipiranga do Norte,MT,18
Ipiranga do Piauí,PI,16
Ipiranga do Sul,RS,18
Ipixuna,AM,14
Ipixuna do Pará,PA,18
Ipojuca,PE,2
Iporá,GO,14
Iporã,PR,20
Iporã do Oeste,SC,22
Iporanga,SP,20
Ipu,CE,6
Ipuã,SP,16
Ipuaçu,SC,18
Ipubi,PE,4
Ipueira,RN,10
Ipueiras,TO,22
Ipueiras,CE,6
Ipuiúna,MG,14
Ipumirim,SC,18
Ipupiara,BA,8
Iracema,RR,12
Iracema,CE,6
Iracema do Oeste,PR,20
Iracemápolis,SP,16
Iraceminha,SC,20
Iraí,RS,18
Iraí de Minas,MG,12
Irajuba,BA,4
Iramaia,BA,6
Iranduba,AM,28
Irani,SC,18
Irapuã,SP,14
Irapuru,SP,18
Iraquara,BA,4
Irará,BA,4
Irati,PR,14
Irati,SC,20
Irauçuba,CE,6
Irecê,BA,6
Iretama,PR,16
Irineópolis,SC,16
Irituia,PA,14
Irupi,ES,12
Isaías Coelho,PI,8
Israelândia,GO,14
Itá,SC,18
Itaara,RS,22
Itabaiana,PB,2
Itabaiana,SE,2
Itabaianinha,SE,4
Itabela,BA,6
Itaberá,SP,14
Itaberaba,BA,4
Itaberaí,GO,14
Itabi,SE,4
Itabira,MG,16
Itabirinha,MG,10
Itabirito,MG,16
Itaboraí,RJ,22
Itabuna,BA,2
Itacajá,TO,22
Itacambira,MG,8
Itacarambi,MG,10
Itacaré,BA,2
Itacoatiara,AM,24
Itacuruba,PE,6
Itacurubi,RS,28
Itaeté,BA,6
Itagi,BA,8
Itagibá,BA,6
Itagimirim,BA,6
Itaguaçu,ES,6
Itaguaçu da Bahia,BA,10
Itaguaí,RJ,22
Itaguajé,PR,18
Itaguara,MG,12
Itaguari,GO,14
Itaguaru,GO,16
Itaguatins,TO,14
Itaí,SP,14
Itaíba,PE,4
Itaiçaba,CE,2
Itainópolis,PI,10
Itaiópolis,SC,16
Itaipava do Grajaú,MA,6
Itaipé,MG,8
Itaipulândia,PR,22
Itaitinga,CE,2
Itaituba,PA,22
Itajá,RN,10
Itajá,GO,16
Itajaí,SC,18
Itajobi,SP,16
Itaju,SP,16
Itaju do Colônia,BA,4
Itajubá,MG,12
Itajuípe,BA,4
Italva,RJ,12
Itamaraju,BA,8
Itamarandiba,MG,12
Itamarati,AM,16
Itamarati de Minas,MG,18
Itamari,BA,4
Itambacuri,MG,10
Itambaracá,PR,16
Itambé,PE,2
Itambé,BA,6
Itambé,PR,20
Itambé do Mato Dentro,MG,16
Itamogi,MG,16
Itamonte,MG,20
Itanagra,BA,2
Itanhaém,SP,16
Itanhandu,MG,16
Itanhangá,MT,18
Itanhém,BA,6
Itanhomi,MG,8
Itaobim,MG,6
Itaoca,SP,18
Itaocara,RJ,18
Itapaci,GO,16
Itapagipe,MG,20
Itapajé,CE,4
Itaparica,BA,4
Itapé,BA,4
Itapebi,BA,6
Itapecerica,MG,14
Itapecerica da Serra,SP,18
Itapecuru Mirim,MA,18
Itapejara d’Oeste,PR,20
Itapema,SC,16
Itapemirim,ES,10
Itaperuçu,PR,14
Itaperuna,RJ,14
Itapetim,PE,8
Itapetinga,BA,4
Itapetininga,SP,18
Itapeva,MG,16
Itapeva,SP,18
Itapevi,SP,18
Itapicuru,BA,4
Itapipoca,CE,2
Itapira,SP,14
Itapiranga,AM,14
Itapiranga,SC,24
Itapirapuã,GO,14
Itapirapuã Paulista,SP,16
Itapiratins,TO,22
Itapissuma,PE,2
Itapitanga,BA,4
Itapiúna,CE,4
Itapoá,SC,14
Itápolis,SP,18
Itaporã,MS,20
Itaporã do Tocantins,TO,22
Itaporanga,PB,6
Itaporanga,SP,12
Itaporanga d’Ajuda,SE,2
Itapororoca,PB,2
Itapuã do Oeste,RO,16
Itapuca,RS,18
Itapuí,SP,12
Itapura,SP,18
Itapuranga,GO,18
Itaquaquecetuba,SP,22
Itaquara,BA,4
Itaqui,RS,26
Itaquiraí,MS,24
Itaquitinga,PE,2
Itarana,ES,6
Itarantim,BA,4
Itararé,SP,14
Itarema,CE,2
Itariri,SP,18
Itarumã,GO,16
Itati,RS,14
Itatiaia,RJ,24
Itatiaiuçu,MG,10
Itatiba,SP,14
Itatiba do Sul,RS,18
Itatim,BA,2
Itatinga,SP,16
Itatira,CE,4
Itatuba,PB,2
Itaú,RN,6
Itaú de Minas,MG,14
Itaúba,MT,16
Itaubal,AP,4
Itauçu,GO,16
Itaueira,PI,8
Itaúna,MG,10
Itaúna do Sul,PR,18
Itaverava,MG,20
Itinga,MG,8
Itinga do Maranhão,MA,10
Itiquira,MT,24
Itirapina,SP,16
Itirapuã,SP,14
Itiruçu,BA,4
Itiúba,BA,4
Itobi,SP,14
Itororó,BA,4
Itu,SP,16
Ituaçu,BA,6
Ituberá,BA,2
Itueta,MG,8
Ituiutaba,MG,18
Itumbiara,GO,16
Itumirim,MG,12
Itupeva,SP,16
Itupiranga,PA,14
Ituporanga,SC,16
Iturama,MG,16
Itutinga,MG,12
Ituverava,SP,14
Iuiu,BA,8
Iúna,ES,12
Ivaí,PR,12
Ivaiporã,PR,16
Ivaté,PR,24
Ivatuba,PR,20
Ivinhema,MS,24
Ivolândia,GO,14
Ivorá,RS,22
Ivoti,RS,14
Jaboatão dos Guararapes,PE,2
Jaborá,SC,18
Jaborandi,BA,16
Jaborandi,SP,14
Jaboti,PR,12
Jaboticaba,RS,16
Jaboticabal,SP,14
Jaboticatubas,MG,14
Jaçanã,RN,4
Jacaraci,BA,4
Jacaraú,PB,2
Jacaré dos Homens,AL,4
Jacareacanga,PA,26
Jacareí,SP,20
Jacarezinho,PR,16
Jaci,SP,12
Jaciara,MT,26
Jacinto,MG,8
Jacinto Machado,SC,14
Jacobina,BA,4
Jacobina do Piauí,PI,6
Jacuí,MG,16
Jacuípe,AL,2
Jacuizinho,RS,18
Jacundá,PA,16
Jacupiranga,SP,18
Jacutinga,MG,14
Jacutinga,RS,16
Jaguapitã,PR,16
Jaguaquara,BA,4
Jaguaraçu,MG,14
Jaguarão,RS,18
Jaguarari,BA,4
Jaguaré,ES,6
Jaguaretama,CE,6
Jaguari,RS,24
Jaguariaíva,PR,14
Jaguaribara,CE,6
Jaguaribe,CE,6
Jaguaripe,BA,4
Jaguariúna,SP,18
Jaguaruana,CE,4
Jaguaruna,SC,14
Jaíba,MG,10
Jaicós,PI,10
Jales,SP,12
Jambeiro,SP,20
Jampruca,MG,10
Janaúba,MG,10
Jandaia,GO,14
Jandaia do Sul,PR,18
Jandaíra,RN,4
Jandaíra,BA,2
Jandira,SP,18
Janduís,RN,6
Jangada,MT,18
Janiópolis,PR,18
Januária,MG,12
Januário Cicco,RN,2
Japaraíba,MG,14
Japaratinga,AL,2
Japaratuba,SE,2
Japeri,RJ,22
Japi,RN,2
Japira,PR,12
Japoatã,SE,2
Japonvar,MG,8
Japorã,MS,24
Japurá,AM,20
Japurá,PR,20
Jaqueira,PE,2
Jaquirana,RS,12
Jaraguá,GO,20
Jaraguá do Sul,SC,18
Jaraguari,MS,24
Jaramataia,AL,2
Jardim,CE,6
Jardim,MS,22
Jardim Alegre,PR,16
Jardim de Angicos,RN,4
Jardim de Piranhas,RN,6
Jardim do Mulato,PI,10
Jardim do Seridó,RN,10
Jardim Olinda,PR,18
Jardinópolis,SP,14
Jardinópolis,SC,20
Jari,RS,26
Jarinu,SP,16
Jaru,RO,14
Jataí,GO,18
Jataizinho,PR,12
Jataúba,PE,4
Jateí,MS,22
Jati,CE,8
Jatobá,MA,8
Jatobá,PE,4
Jatobá do Piauí,PI,14
Jaú,SP,14
Jaú do Tocantins,TO,18
Jaupaci,GO,14
Jauru,MT,20
Jeceaba,MG,16
Jenipapo de Minas,MG,6
Jenipapo dos Vieiras,MA,6
Jequeri,MG,10
Jequiá da Praia,AL,2
Jequié,BA,8
Jequitaí,MG,10
Jequitibá,MG,10
Jequitinhonha,MG,6
Jeremoabo,BA,4
Jericó,PB,8
Jeriquara,SP,14
Jerônimo Monteiro,ES,12
Jerumenha,PI,8
Jesuânia,MG,10
Jesuítas,PR,20
Jesúpolis,GO,16
Jijoca de Jericoacoara,CE,4
Ji-Paraná,RO,16
Jiquiriçá,BA,2
Jitaúna,BA,6
Joaçaba,SC,16
Joaíma,MG,6
Joanésia,MG,14
Joanópolis,SP,18
João Alfredo,PE,2
João Câmara,RN,2
João Costa,PI,8
João Dias,RN,6
João Dourado,BA,6
João Lisboa,MA,12
João Monlevade,MG,16
João Neiva,ES,8
João Pessoa,PB,2
João Pinheiro,MG,14
João Ramalho,SP,16
Joaquim Felício,MG,10
Joaquim Gomes,AL,2
Joaquim Nabuco,PE,2
Joaquim Pires,PI,14
Joaquim Távora,PR,12
Joca Claudino,PB,4
Joca Marques,PI,14
Joia,RS,26
Joinville,SC,18
Jordânia,MG,6
Jordão,AC,10
José Boiteux,SC,16
José Bonifácio,SP,12
José da Penha,RN,6
José de Freitas,PI,12
José Gonçalves de Minas,MG,6
José Raydan,MG,10
Joselândia,MA,10
Josenópolis,MG,8
Joviânia,GO,14
Juara,MT,14
Juarez Távora,PB,2
Juarina,TO,22
Juatuba,MG,10
Juazeirinho,PB,4
Juazeiro,BA,6
Juazeiro do Norte,CE,6
Juazeiro do Piauí,PI,10
Jucás,CE,4
Jucati,PE,4
Jucuruçu,BA,8
Jucurutu,RN,8
Juína,MT,16
Juiz de Fora,MG,30
Júlio Borges,PI,12
Júlio de Castilhos,RS,24
Júlio Mesquita,SP,12
Jumirim,SP,16
Junco do Maranhão,MA,10
Junco do Seridó,PB,6
Jundiá,RN,2
Jundiá,AL,2
Jundiaí,SP,18
Jundiaí do Sul,PR,14
Junqueiro,AL,2
Junqueirópolis,SP,18
Jupi,PE,4
Jupiá,SC,18
Juquiá,SP,20
Juquitiba,SP,14
Juramento,MG,8
Juranda,PR,20
Jurema,PI,8
Jurema,PE,2
Juripiranga,PB,2
Juru,PB,8
Juruá,AM,20
Juruaia,MG,14
Juruena,MT,14
Juruti,PA,16
Juscimeira,MT,26
Jussara,BA,6
Jussara,PR,20
Jussara,GO,12
Jussari,BA,4
Jussiape,BA,6
Jutaí,AM,16
Juti,MS,22
Juvenília,MG,10
Kaloré,PR,16
Lábrea,AM,16
Lacerdópolis,SC,16
Ladainha,MG,8
Ladário,MS,16
Lafaiete Coutinho,BA,6
Lagamar,MG,12
Lagarto,SE,4
Lages,SC,14
Lago da Pedra,MA,14
Lago do Junco,MA,14
Lago dos Rodrigues,MA,14
Lago Verde,MA,14
Lagoa,PB,8
Lagoa Alegre,PI,14
Lagoa Bonita do Sul,RS,16
Lagoa da Canoa,AL,2
Lagoa da Confusão,TO,24
Lagoa da Prata,MG,14
Lagoa d’Anta,RN,2
Lagoa de Dentro,PB,2
Lagoa de Itaenga,PE,2
Lagoa de Pedras,RN,2
Lagoa de São Francisco,PI,12
Lagoa de Velhos,RN,2
Lagoa do Barro do Piauí,PI,6
Lagoa do Carro,PE,2
Lagoa do Mato,MA,8
Lagoa do Ouro,PE,2
Lagoa do Piauí,PI,12
Lagoa do Sítio,PI,16
Lagoa do Tocantins,TO,22
Lagoa dos Gatos,PE,2
Lagoa dos Patos,MG,12
Lagoa dos Patos,RS,14
Lagoa dos Três Cantos,RS,16
Lagoa Dourada,MG,16
Lagoa Formosa,MG,14
Lagoa Grande,PE,4
Lagoa Grande,MG,10
Lagoa Grande do Maranhão,MA,8
Lagoa Mirim,RS,12
Lagoa Nova,RN,6
Lagoa Real,BA,6
Lagoa Salgada,RN,2
Lagoa Santa,MG,10
Lagoa Santa,GO,16
Lagoa Seca,PB,2
Lagoa Vermelha,RS,14
Lagoão,RS,18
Lagoinha,SP,20
Lagoinha do Piauí,PI,10
Laguna,SC,14
Laguna Carapã,MS,24
Laje,BA,2
Laje do Muriaé,RJ,16
Lajeado,TO,22
Lajeado,RS,20
Lajeado do Bugre,RS,16
Lajeado Grande,SC,20
Lajeado Novo,MA,12
Lajedão,BA,6
Lajedinho,BA,4
Lajedo,PE,4
Lajedo do Tabocal,BA,6
Lajes,RN,4
Lajes Pintadas,RN,4
Lajinha,MG,12
Lamarão,BA,2
Lambari,MG,10
Lambari d’Oeste,MT,18
Lamim,MG,18
Landri Sales,PI,8
Lapa,PR,14
Lapão,BA,6
Laranja da Terra,ES,6
Laranjal,MG,16
Laranjal,PR,20
Laranjal do Jari,AP,12
Laranjal Paulista,SP,18
Laranjeiras,SE,2
Laranjeiras do Sul,PR,22
Lassance,MG,10
Lastro,PB,6
Laurentino,SC,16
Lauro de Freitas,BA,2
Lauro Müller,SC,14
Lavandeira,TO,16
Lavínia,SP,16
Lavras,MG,14
Lavras da Mangabeira,CE,8
Lavras do Sul,RS,20
Lavrinhas,SP,20
Leandro Ferreira,MG,12
Lebon Régis,SC,18
Leme,SP,14
Leme do Prado,MG,6
Lençóis,BA,4
Lençóis Paulista,SP,16
Leoberto Leal,SC,18
Leopoldina,MG,20
Leopoldo de Bulhões,GO,16
Leópolis,PR,14
Liberato Salzano,RS,16
Liberdade,MG,26
Licínio de Almeida,BA,6
Lidianópolis,PR,16
Lima Campos,MA,12
Lima Duarte,MG,30
Limeira,SP,16
Limeira do Oeste,MG,12
Limoeiro,PE,2
Limoeiro de Anadia,AL,2
Limoeiro do Ajuru,PA,22
Limoeiro do Norte,CE,6
Lindoeste,PR,22
Lindoia,SP,14
Lindoia do Sul,SC,18
Lindolfo Collor,RS,14
Linha Nova,RS,14
Linhares,ES,8
Lins,SP,10
Livramento,PB,4
Livramento de Nossa Senhora,BA,6
Lizarda,TO,22
Loanda,PR,20
Lobato,PR,18
Logradouro,PB,2
Londrina,PR,16
Lontra,MG,8
Lontras,SC,18
Lorena,SP,20
Loreto,MA,10
Lourdes,SP,12
Louveira,SP,16
Lucas do Rio Verde,MT,16
Lucélia,SP,16
Lucena,PB,2
Lucianópolis,SP,14
Luciara,MT,18
Lucrécia,RN,6
Luís Antônio,SP,16
Luís Correia,PI,8
Luís Domingues,MA,4
Luís Eduardo Magalhães,BA,18
Luís Gomes,RN,6
Luisburgo,MG,12
Luislândia,MG,10
Luiz Alves,SC,18
Luiziana,PR,18
Luiziânia,SP,12
Luminárias,MG,14
Lunardelli,PR,16
Lupércio,SP,16
Lupionópolis,PR,16
Lutécia,SP,18
Luz,MG,14
Luzerna,SC,16
Luziânia,GO,16
Luzilândia,PI,18
Luzinópolis,TO,10
Macaé,RJ,20
Macaíba,RN,2
Macajuba,BA,2
Maçambará,RS,26
Macambira,SE,2
Macapá,AP,6
Macaparana,PE,2
Macarani,BA,6
Macatuba,SP,12
Macau,RN,6
Macaubal,SP,12
Macaúbas,BA,12
Macedônia,SP,14
Maceió,AL,2
Machacalis,MG,8
Machadinho,RS,14
Machadinho d’Oeste,RO,22
Machado,MG,12
Machados,PE,2
Macieira,SC,18
Macuco,RJ,20
Macururé,BA,6
Madalena,CE,4
Madeiro,PI,16
Madre de Deus,BA,4
Madre de Deus de Minas,MG,14
Mãe d’Água,PB,10
Mãe do Rio,PA,14
Maetinga,BA,4
Mafra,SC,14
Magalhães Barata,PA,10
Magalhães de Almeida,MA,10
Magda,SP,14
Magé,RJ,22
Maiquinique,BA,4
Mairi,BA,4
Mairinque,SP,16
Mairiporã,SP,20
Mairipotaba,GO,14
Major Gercino,SC,20
Major Isidoro,AL,4
Major Sales,RN,6
Major Vieira,SC,16
Malacacheta,MG,8
Malhada,BA,8
Malhada de Pedras,BA,6
Malhada dos Bois,SE,2
Malhador,SE,2
Mallet,PR,16
Malta,PB,12
Mamanguape,PB,2
Mambaí,GO,16
Mamborê,PR,20
Mamonas,MG,8
Mampituba,RS,14
Manacapuru,AM,26
Manaíra,PB,6
Manaquiri,AM,28
Manari,PE,4
Manaus,AM,32
Mâncio Lima,AC,14
Mandaguaçu,PR,18
Mandaguari,PR,18
Mandirituba,PR,14
Manduri,SP,14
Manfrinópolis,PR,22
Manga,MG,10
Mangaratiba,RJ,16
Mangueirinha,PR,18
Manhuaçu,MG,12
Manhumirim,MG,12
Manicoré,AM,24
Manoel Emídio,PI,12
Manoel Ribas,PR,16
Manoel Urbano,AC,14
Manoel Viana,RS,22
Manoel Vitorino,BA,8
Mansidão,BA,8
Mantena,MG,8
Mantenópolis,ES,8
Maquiné,RS,14
Mar de Espanha,MG,24
Mar Vermelho,AL,2
Mara Rosa,GO,18
Maraã,AM,22
Marabá,PA,14
Marabá Paulista,SP,18
Maracaçumé,MA,10
Maracaí,SP,16
Maracajá,SC,12
Maracaju,MS,24
Maracanã,PA,12
Maracanaú,CE,2
Maracás,BA,8
Maragogi,AL,2
Maragogipe,BA,4
Maraial,PE,2
Marajá do Sena,MA,10
Maranguape,CE,2
Maranhãozinho,MA,12
Marapanim,PA,12
Marapoama,SP,14
Maratá,RS,14
Marataízes,ES,8
Marau,RS,18
Maraú,BA,2
Maravilha,AL,4
Maravilha,SC,20
Maravilhas,MG,10
Marcação,PB,2
Marcelândia,MT,20
Marcelino Ramos,RS,18
Marcelino Vieira,RN,6
Marcionílio Souza,BA,6
Marco,CE,6
Marcolândia,PI,6
Marcos Parente,PI,8
Marechal Cândido Rondon,PR,24
Marechal Deodoro,AL,2
Marechal Floriano,ES,8
Marechal Thaumaturgo,AC,12
Marema,SC,20
Mari,PB,2
Maria da Fé,MG,12
Maria Helena,PR,24
Marialva,PR,18
Mariana,MG,18
Mariana Pimentel,RS,14
Mariano Moro,RS,18
Marianópolis do Tocantins,TO,26
Mariápolis,SP,16
Maribondo,AL,2
Maricá,RJ,16
Marilac,MG,12
Marilândia,ES,8
Marilândia do Sul,PR,18
Marilena,PR,20
Marília,SP,18
Mariluz,PR,20
Maringá,PR,18
Marinópolis,SP,14
Mário Campos,MG,12
Mariópolis,PR,18
Maripá,PR,24
Maripá de Minas,MG,22
Marituba,PA,24
Marizópolis,PB,4
Marliéria,MG,14
Marmeleiro,PR,20
Marmelópolis,MG,14
Marques de Souza,RS,20
Marquinho,PR,18
Martinho Campos,MG,14
Martinópole,CE,6
Martinópolis,SP,16
Martins,RN,6
Martins Soares,MG,12
Maruim,SE,2
Marumbi,PR,18
Marzagão,GO,16
Mascote,BA,6
Massapê,CE,6
Massapê do Piauí,PI,8
Massaranduba,PB,2
Massaranduba,SC,18
Mata,RS,24
Mata de São João,BA,2
Mata Grande,AL,4
Mata Roma,MA,12
Mata Verde,MG,6
Matão,SP,18
Mataraca,PB,2
Mateiros,TO,24
Matelândia,PR,24
Materlândia,MG,14
Mateus Leme,MG,10
Mathias Lobato,MG,10
Matias Barbosa,MG,30
Matias Cardoso,MG,8
Matias Olímpio,PI,20
Matina,BA,6
Matinha,MA,16
Matinhas,PB,2
Matinhos,PR,14
Matipó,MG,10
Mato Castelhano,RS,18
Mato Grosso,PB,8
Mato Leitão,RS,20
Mato Queimado,RS,24
Mato Rico,PR,18
Mato Verde,MG,10
Matões,MA,10
Matões do Norte,MA,16
Matos Costa,SC,18
Matozinhos,MG,10
Matrinchã,GO,14
Matriz de Camaragibe,AL,2
Matupá,MT,22
Matureia,PB,10
Matutina,MG,10
Mauá,SP,20
Mauá da Serra,PR,18
Maués,AM,24
Maurilândia,GO,14
Maurilândia do Tocantins,TO,14
Mauriti,CE,8
Maxaranguape,RN,2
Maximiliano de Almeida,RS,16
Mazagão,AP,12
Medeiros,MG,14
Medeiros Neto,BA,6
Medianeira,PR,22
Medicilândia,PA,10
Medina,MG,6
Meleiro,SC,12
Melgaço,PA,20
Mendes,RJ,28
Mendes Pimentel,MG,8
Mendonça,SP,14
Mercedes,PR,24
Mercês,MG,20
Meridiano,SP,14
Meruoca,CE,6
Mesópolis,SP,14
Mesquita,MG,14
Mesquita,RJ,20
Messias,AL,2
Messias Targino,RN,6
Miguel Alves,PI,20
Miguel Calmon,BA,4
Miguel Leão,PI,10
Miguel Pereira,RJ,24
Miguelópolis,SP,16
Milagres,CE,8
Milagres,BA,4
Milagres do Maranhão,MA,16
Milhã,CE,4
Milton Brandão,PI,12
Mimoso de Goiás,GO,16
Mimoso do Sul,ES,12
Minaçu,GO,18
Minador do Negrão,AL,4
Minas do Leão,RS,16
Minas Novas,MG,6
Minduri,MG,14
Mineiros,GO,22
Mineiros do Tietê,SP,14
Ministro Andreazza,RO,14
Mira Estrela,SP,14
Mirabela,MG,8
Miracatu,SP,20
Miracema,RJ,16
Miracema do Tocantins,TO,24
Mirador,MA,8
Mirador,PR,18
Miradouro,MG,12
Miraguaí,RS,20
Miraí,MG,14
Miraíma,CE,4
Miranda,MS,20
Miranda do Norte,MA,18
Mirandiba,PE,6
Mirandópolis,SP,16
Mirangaba,BA,4
Miranorte,TO,24
Mirante,BA,6
Mirante da Serra,RO,16
Mirante do Paranapanema,SP,18
Miraselva,PR,14
Mirassol,SP,12
Mirassol d’Oeste,MT,18
Mirassolândia,SP,12
Miravânia,MG,10
Mirim Doce,SC,16
Mirinzal,MA,4
Missal,PR,22
Missão Velha,CE,6
Mocajuba,PA,22
Mococa,SP,16
Modelo,SC,20
Moeda,MG,16
Moema,MG,12
Mogeiro,PB,2
Mogi das Cruzes,SP,20
Mogi Guaçu,SP,14
Mogi Mirim,SP,16
Moiporá,GO,14
Moita Bonita,SE,2
Moju,PA,24
Mojuí dos Campos,PA,14
Mombaça,CE,4
Mombuca,SP,18
Monção,MA,16
Monções,SP,10
Mondaí,SC,22
Mongaguá,SP,16
Monjolos,MG,10
Monsenhor Gil,PI,12
Monsenhor Hipólito,PI,8
Monsenhor Paulo,MG,12
Monsenhor Tabosa,CE,4
Montadas,PB,2
Montalvânia,MG,8
Montanha,ES,6
Montanhas,RN,2
Montauri,RS,20
Monte Alegre,PA,10
Monte Alegre,RN,2
Monte Alegre de Goiás,GO,14
Monte Alegre de Minas,MG,20
Monte Alegre de Sergipe,SE,4
Monte Alegre do Piauí,PI,16
Monte Alegre do Sul,SP,14
Monte Alegre dos Campos,RS,12
Monte Alto,SP,18
Monte Aprazível,SP,12
Monte Azul,MG,10
Monte Azul Paulista,SP,14
Monte Belo,MG,12
Monte Belo do Sul,RS,16
Monte Carlo,SC,16
Monte Carmelo,MG,12
Monte Castelo,SP,18
Monte Castelo,SC,16
Monte das Gameleiras,RN,2
Monte do Carmo,TO,26
Monte Formoso,MG,6
Monte Horebe,PB,6
Monte Mor,SP,16
Monte Negro,RO,14
Monte Santo,BA,4
Monte Santo de Minas,MG,16
Monte Santo do Tocantins,TO,24
Monte Sião,MG,14
Monteiro,PB,6
Monteiro Lobato,SP,20
Monteirópolis,AL,4
Montenegro,RS,14
Montes Altos,MA,14
Montes Claros,MG,8
Montes Claros de Goiás,GO,12
Montezuma,MG,6
Montividiu,GO,16
Montividiu do Norte,GO,20
Morada Nova,CE,6
Morada Nova de Minas,MG,14
Moraújo,CE,8
Moreilândia,PE,4
Moreira Sales,PR,18
Moreno,PE,2
Mormaço,RS,14
Morpará,BA,12
Morretes,PR,18
Morrinhos,CE,4
Morrinhos,GO,18
Morrinhos do Sul,RS,14
Morro Agudo,SP,16
Morro Agudo de Goiás,GO,16
Morro Cabeça no Tempo,PI,12
Morro da Fumaça,SC,14
Morro da Garça,MG,10
Morro do Chapéu,BA,6
Morro do Chapéu do Piauí,PI,20
Morro do Pilar,MG,14
Morro Grande,SC,14
Morro Redondo,RS,14
Morro Reuter,RS,14
Morros,MA,10
Mortugaba,BA,4
Morungaba,SP,14
Mossâmedes,GO,16
Mossoró,RN,8
Mostardas,RS,12
Motuca,SP,16
Mozarlândia,GO,14
Muaná,PA,24
Mucajaí,RR,10
Mucambo,CE,8
Mucugê,BA,6
Muçum,RS,18
Mucuri,BA,6
Mucurici,ES,6
Muitos Capões,RS,12
Muliterno,RS,16
Mulungu,CE,4
Mulungu,PB,2
Mulungu do Morro,BA,4
Mundo Novo,BA,4
Mundo Novo,MS,20
Mundo Novo,GO,14
Munhoz,MG,14
Munhoz de Melo,PR,18
Muniz Ferreira,BA,2
Muniz Freire,ES,12
Muquém do São Francisco,BA,16
Muqui,ES,12
Muriaé,MG,16
Muribeca,SE,2
Murici,AL,2
Murici dos Portelas,PI,12
Muricilândia,TO,18
Muritiba,BA,4
Murutinga do Sul,SP,16
Mutuípe,BA,2
Mutum,MG,12
Mutunópolis,GO,18
Muzambinho,MG,14
Nacip Raydan,MG,12
Nantes,SP,16
Nanuque,MG,6
Não-Me-Toque,RS,16
Naque,MG,10
Narandiba,SP,16
Natal,RN,2
Natalândia,MG,12
Natércia,MG,10
Natividade,TO,22
Natividade,RJ,14
Natividade da Serra,SP,20
Natuba,PB,2
Navegantes,SC,16
Naviraí,MS,24
Nazaré,TO,10
Nazaré,BA,4
Nazaré da Mata,PE,2
Nazaré do Piauí,PI,8
Nazaré Paulista,SP,20
Nazareno,MG,10
Nazarezinho,PB,6
Nazária,PI,12
Nazário,GO,16
Neópolis,SE,2
Nepomuceno,MG,14
Nerópolis,GO,16
Neves Paulista,SP,12
Nhamundá,AM,18
Nhandeara,SP,14
Nicolau Vergueiro,RS,16
Nilo Peçanha,BA,2
Nilópolis,RJ,20
Nina Rodrigues,MA,10
Ninheira,MG,4
Nioaque,MS,24
Nipoã,SP,10
Niquelândia,GO,18
Nísia Floresta,RN,2
Niterói,RJ,18
Nobres,MT,18
Nonoai,RS,18
Nordestina,BA,4
Normandia,RR,8
Nortelândia,MT,18
Nossa Senhora Aparecida,SE,4
Nossa Senhora da Glória,SE,4
Nossa Senhora das Dores,SE,4
Nossa Senhora das Graças,PR,18
Nossa Senhora de Lourdes,SE,2
Nossa Senhora de Nazaré,PI,12
Nossa Senhora do Livramento,MT,22
Nossa Senhora do Socorro,SE,2
Nossa Senhora dos Remédios,PI,22
Nova Aliança,SP,14
Nova Aliança do Ivaí,PR,18
Nova Alvorada,RS,20
Nova Alvorada do Sul,MS,28
Nova América,GO,16
Nova América da Colina,PR,12
Nova Andradina,MS,26
Nova Araçá,RS,18
Nova Aurora,PR,20
Nova Aurora,GO,14
Nova Bandeirantes,MT,20
Nova Bassano,RS,18
Nova Belém,MG,8
Nova Boa Vista,RS,16
Nova Brasilândia,MT,16
Nova Brasilândia d’Oeste,RO,14
Nova Bréscia,RS,20
Nova Campina,SP,16
Nova Canaã,BA,4
Nova Canaã do Norte,MT,18
Nova Canaã Paulista,SP,16
Nova Candelária,RS,20
Nova Cantu,PR,22
Nova Castilho,SP,12
Nova Colinas,MA,10
Nova Crixás,GO,16
Nova Cruz,RN,2
Nova Era,MG,16
Nova Erechim,SC,20
Nova Esperança,PR,18
Nova Esperança do Piriá,PA,16
Nova Esperança do Sudoeste,PR,20
Nova Esperança do Sul,RS,26
Nova Europa,SP,18
Nova Fátima,BA,4
Nova Fátima,PR,14
Nova Floresta,PB,4
Nova Friburgo,RJ,22
Nova Glória,GO,16
Nova Granada,SP,16
Nova Guarita,MT,16
Nova Guataporanga,SP,18
Nova Hartz,RS,16
Nova Ibiá,BA,2
Nova Iguaçu,RJ,22
Nova Iguaçu de Goiás,GO,14
Nova Independência,SP,18
Nova Iorque,MA,10
Nova Ipixuna,PA,14
Nova Itaberaba,SC,20
Nova Itarana,BA,4
Nova Lacerda,MT,18
Nova Laranjeiras,PR,22
Nova Lima,MG,14
Nova Londrina,PR,20
Nova Luzitânia,SP,12
Nova Mamoré,RO,18
Nova Marilândia,MT,18
Nova Maringá,MT,16
Nova Módica,MG,10
Nova Monte Verde,MT,16
Nova Mutum,MT,18
Nova Nazaré,MT,14
Nova Odessa,SP,18
Nova Olímpia,PR,20
Nova Olímpia,MT,18
Nova Olinda,TO,16
Nova Olinda,CE,4
